n_components,sigma,accuracy,f1
8,0.1,0.9356,0.9356
8,0.2,0.9437,0.9436
8,0.3,0.9155,0.9155
8,0.4,0.9276,0.9275
8,0.5,0.9276,0.9276
8,0.7,0.8934,0.8934
9,0.1,0.9416,0.9416
9,0.2,0.9437,0.9436
9,0.3,0.9356,0.9356
9,0.4,0.9256,0.9255
9,0.5,0.9316,0.9316
9,0.7,0.8994,0.8994
10,0.1,0.9497,0.9497
10,0.2,0.9396,0.9396
10,0.3,0.9356,0.9356
10,0.4,0.9316,0.9316
10,0.5,0.9457,0.9457
10,0.7,0.9296,0.9296
11,0.1,0.9457,0.9457
11,0.2,0.9437,0.9437
11,0.3,0.9316,0.9316
11,0.4,0.9235,0.9235
11,0.5,0.9437,0.9436
11,0.7,0.9316,0.9316
12,0.1,0.9457,0.9457
12,0.2,0.9416,0.9416
12,0.3,0.9416,0.9416
12,0.4,0.9376,0.9376
12,0.5,0.9396,0.9396
12,0.7,0.9215,0.9215
13,0.1,0.9437,0.9436
13,0.2,0.9416,0.9416
13,0.3,0.9477,0.9477
13,0.4,0.9457,0.9457
13,0.5,0.9437,0.9437
13,0.7,0.9296,0.9296
14,0.1,0.9416,0.9416
14,0.2,0.9477,0.9477
14,0.3,0.9416,0.9416
14,0.4,0.9457,0.9457
14,0.5,0.9457,0.9457
14,0.7,0.9256,0.9256
15,0.1,0.9396,0.9396
15,0.2,0.9517,0.9517
15,0.3,0.9497,0.9497
15,0.4,0.9416,0.9416
15,0.5,0.9416,0.9416
15,0.7,0.9256,0.9256
24,0.1,0.9437,0.9436
24,0.2,0.9497,0.9497
24,0.3,0.9376,0.9376
24,0.4,0.9336,0.9336
24,0.5,0.9336,0.9336
24,0.7,0.9336,0.9336
25,0.1,0.9437,0.9436
25,0.2,0.9497,0.9497
25,0.3,0.9376,0.9376
25,0.4,0.9336,0.9336
25,0.5,0.9336,0.9336
25,0.7,0.9336,0.9336
26,0.1,0.9437,0.9436
26,0.2,0.9497,0.9497
26,0.3,0.9376,0.9376
26,0.4,0.9336,0.9336
26,0.5,0.9336,0.9336
26,0.7,0.9336,0.9336
