n_components,reg,accuracy,f1
8,0.0001,0.9336,0.9336
8,0.001,0.9376,0.9376
8,0.01,0.9376,0.9376
8,0.1,0.9336,0.9336
8,0.2,0.9336,0.9336
8,0.5,0.9376,0.9376
9,0.0001,0.9437,0.9436
9,0.001,0.9356,0.9356
9,0.01,0.9517,0.9517
9,0.1,0.9416,0.9416
9,0.2,0.9437,0.9436
9,0.5,0.9416,0.9416
10,0.0001,0.9376,0.9376
10,0.001,0.9276,0.9275
10,0.01,0.9296,0.9295
10,0.1,0.9316,0.9316
10,0.2,0.9316,0.9316
10,0.5,0.9296,0.9296
12,0.0001,0.9336,0.9336
12,0.001,0.9256,0.9255
12,0.01,0.9336,0.9336
12,0.1,0.9276,0.9275
12,0.2,0.9376,0.9376
12,0.5,0.9356,0.9356
15,0.0001,0.9336,0.9336
15,0.001,0.9276,0.9276
15,0.01,0.9336,0.9336
15,0.1,0.9316,0.9315
15,0.2,0.9316,0.9315
15,0.5,0.9235,0.9235
24,0.0001,0.9276,0.9275
24,0.001,0.9235,0.9235
24,0.01,0.9296,0.9295
24,0.1,0.9376,0.9376
24,0.2,0.9256,0.9255
24,0.5,0.9396,0.9396
