n_components,reg,accuracy,f1
8,0.0001,0.9598,0.9597
8,0.001,0.9598,0.9597
8,0.01,0.9598,0.9597
8,0.1,0.9598,0.9597
8,0.2,0.9598,0.9597
8,0.5,0.9598,0.9597
9,0.0001,0.9598,0.9597
9,0.001,0.9598,0.9597
9,0.01,0.9598,0.9597
9,0.1,0.9598,0.9597
9,0.2,0.9598,0.9597
9,0.5,0.9598,0.9597
10,0.0001,0.9598,0.9597
10,0.001,0.9598,0.9597
10,0.01,0.9598,0.9597
10,0.1,0.9598,0.9597
10,0.2,0.9598,0.9597
10,0.5,0.9598,0.9597
12,0.0001,0.9598,0.9597
12,0.001,0.9598,0.9597
12,0.01,0.9598,0.9597
12,0.1,0.9598,0.9597
12,0.2,0.9598,0.9597
12,0.5,0.9598,0.9597
15,0.0001,0.9598,0.9597
15,0.001,0.9598,0.9597
15,0.01,0.9598,0.9597
15,0.1,0.9598,0.9597
15,0.2,0.9598,0.9597
15,0.5,0.9598,0.9597
24,0.0001,0.9598,0.9597
24,0.001,0.9598,0.9597
24,0.01,0.9598,0.9597
24,0.1,0.9598,0.9597
24,0.2,0.9598,0.9597
24,0.5,0.9598,0.9597
