n_components,sigma,accuracy,f1
21,36,0.6032,0.6302
21,37,0.6286,0.6650
21,38,0.6254,0.6491
21,39,0.5905,0.6122
21,40,0.5905,0.6115
21,41,0.5810,0.6081
21,43,0.5524,0.5485
21,44,0.5460,0.5433
21,45,0.5397,0.5442
22,36,0.6000,0.6307
22,37,0.6190,0.6513
22,38,0.6349,0.6619
22,39,0.5841,0.6021
22,40,0.5810,0.6014
22,41,0.5841,0.6101
22,43,0.5905,0.5804
22,44,0.5683,0.5596
22,45,0.5683,0.5629
23,36,0.6000,0.6217
23,37,0.6381,0.6583
23,38,0.6190,0.6408
23,39,0.5937,0.6070
23,40,0.6254,0.6339
23,41,0.6127,0.6327
23,43,0.5714,0.5647
23,44,0.5810,0.5737
23,45,0.5714,0.5658
24,36,0.6317,0.6446
24,37,0.5968,0.6195
24,38,0.6286,0.6525
24,39,0.5968,0.6118
24,40,0.5619,0.5810
24,41,0.6317,0.6467
24,43,0.5683,0.5712
24,44,0.5587,0.5455
24,45,0.5683,0.5645
25,36,0.6095,0.6325
25,37,0.6190,0.6369
25,38,0.6349,0.6508
25,39,0.6254,0.6379
25,40,0.6095,0.6239
25,41,0.6254,0.6452
25,43,0.6159,0.6123
25,44,0.5683,0.5563
25,45,0.5841,0.5731
26,36,0.6571,0.6759
26,37,0.6317,0.6468
26,38,0.6286,0.6468
26,39,0.6381,0.6545
26,40,0.6127,0.6261
26,41,0.6286,0.6486
26,43,0.5873,0.5813
26,44,0.5841,0.5763
26,45,0.5746,0.5653
27,36,0.6571,0.6759
27,37,0.6317,0.6468
27,38,0.6286,0.6468
27,39,0.6381,0.6545
27,40,0.6127,0.6261
27,41,0.6286,0.6486
27,43,0.5873,0.5813
27,44,0.5841,0.5763
27,45,0.5746,0.5653
29,36,0.6571,0.6759
29,37,0.6317,0.6468
29,38,0.6286,0.6468
29,39,0.6381,0.6545
29,40,0.6127,0.6261
29,41,0.6286,0.6486
29,43,0.5873,0.5813
29,44,0.5841,0.5763
29,45,0.5746,0.5653
30,36,0.6571,0.6759
30,37,0.6317,0.6468
30,38,0.6286,0.6468
30,39,0.6381,0.6545
30,40,0.6127,0.6261
30,41,0.6286,0.6486
30,43,0.5873,0.5813
30,44,0.5841,0.5763
30,45,0.5746,0.5653
