n_components,reg_param,accuracy,f1
2,1e-06,0.4190,0.4340
2,1e-05,0.4000,0.4279
2,0.0001,0.4190,0.4123
2,0.001,0.3968,0.3970
5,1e-06,0.3968,0.4240
5,1e-05,0.4000,0.4205
5,0.0001,0.4063,0.4298
5,0.001,0.4032,0.4291
10,1e-06,0.3810,0.3711
10,1e-05,0.5429,0.5604
10,0.0001,0.5270,0.5489
10,0.001,0.4190,0.4231
20,1e-06,0.4571,0.4445
20,1e-05,0.5206,0.5298
20,0.0001,0.5492,0.5581
20,0.001,0.5492,0.5460
25,1e-06,0.4603,0.4447
25,1e-05,0.5302,0.5416
25,0.0001,0.6222,0.6311
25,0.001,0.5651,0.5520
30,1e-06,0.4444,0.4319
30,1e-05,0.5492,0.5621
30,0.0001,0.5683,0.5705
30,0.001,0.5429,0.5380
