n_components,sigma,accuracy,f1
1,0.1,0.4349,0.3584
1,0.5,0.3810,0.1546
1,1.0,0.3079,0.2475
1,5.0,0.3302,0.3474
1,10,0.4794,0.4943
2,0.1,0.1714,0.0732
2,0.5,0.3810,0.1546
2,1.0,0.3238,0.1760
2,5.0,0.4159,0.3478
2,10,0.4222,0.4353
5,0.1,0.1714,0.0732
5,0.5,0.3810,0.1546
5,1.0,0.2635,0.1555
5,5.0,0.4254,0.3528
5,10,0.3905,0.3991
10,0.1,0.1714,0.0732
10,0.5,0.4127,0.2094
10,1.0,0.3778,0.1904
10,5.0,0.3778,0.2961
10,10,0.3714,0.3781
15,0.1,0.1714,0.0732
15,0.5,0.3873,0.1644
15,1.0,0.2603,0.1536
15,5.0,0.3841,0.3157
15,10,0.3587,0.3438
20,0.1,0.1714,0.0732
20,0.5,0.3937,0.1750
20,1.0,0.1937,0.1210
20,5.0,0.4730,0.4099
20,10,0.3810,0.3872
25,0.1,0.5302,0.3873
25,0.5,0.3905,0.1676
25,1.0,0.2349,0.1699
25,5.0,0.4317,0.3549
25,10,0.3365,0.3664
30,0.1,0.1714,0.0732
30,0.5,0.5397,0.4335
30,1.0,0.2413,0.1198
30,5.0,0.4159,0.3325
30,10,0.3365,0.3591
