n_components,alpha,accuracy,f1
1,0.05,0.3810,0.1379
1,0.1,0.3810,0.1379
1,0.2,0.3810,0.1379
1,0.5,0.3810,0.1379
1,1.0,0.3810,0.1379
2,0.05,0.3810,0.1379
2,0.1,0.3810,0.1379
2,0.2,0.3810,0.1379
2,0.5,0.3810,0.1379
2,1.0,0.3810,0.1379
5,0.05,0.3810,0.1379
5,0.1,0.3810,0.1379
5,0.2,0.3810,0.1379
5,0.5,0.3810,0.1379
5,1.0,0.3810,0.1379
10,0.05,0.3810,0.1379
10,0.1,0.3810,0.1379
10,0.2,0.3810,0.1379
10,0.5,0.3810,0.1379
10,1.0,0.3810,0.1379
20,0.05,0.3810,0.1379
20,0.1,0.3810,0.1379
20,0.2,0.3810,0.1379
20,0.5,0.3810,0.1379
20,1.0,0.3810,0.1379
