n_components,sigma,accuracy,f1
21,36,0.6222,0.6506
21,37,0.6286,0.6586
21,38,0.6286,0.6588
21,39,0.6254,0.6589
21,40,0.6286,0.6601
21,41,0.6349,0.6650
21,43,0.6349,0.6646
21,44,0.6349,0.6658
21,45,0.6381,0.6681
22,36,0.6254,0.6544
22,37,0.6476,0.6776
22,38,0.6635,0.6938
22,39,0.6571,0.6884
22,40,0.6698,0.7011
22,41,0.6730,0.7033
22,43,0.6667,0.6964
22,44,0.6603,0.6918
22,45,0.6635,0.6950
23,36,0.6317,0.6573
23,37,0.6286,0.6544
23,38,0.6254,0.6537
23,39,0.6286,0.6565
23,40,0.6286,0.6580
23,41,0.6317,0.6591
23,43,0.6286,0.6569
23,44,0.6254,0.6568
23,45,0.6286,0.6596
24,36,0.6667,0.6926
24,37,0.6540,0.6809
24,38,0.6476,0.6749
24,39,0.6476,0.6760
24,40,0.6603,0.6891
24,41,0.6540,0.6820
24,43,0.6635,0.6902
24,44,0.6603,0.6875
24,45,0.6571,0.6833
25,36,0.6222,0.6488
25,37,0.6222,0.6474
25,38,0.6254,0.6502
25,39,0.6222,0.6489
25,40,0.6349,0.6588
25,41,0.6317,0.6553
25,43,0.6254,0.6499
25,44,0.6381,0.6604
25,45,0.6381,0.6601
26,36,0.6381,0.6637
26,37,0.6286,0.6562
26,38,0.6159,0.6460
26,39,0.6222,0.6504
26,40,0.6222,0.6496
26,41,0.6222,0.6488
26,43,0.6190,0.6460
26,44,0.6254,0.6524
26,45,0.6286,0.6559
27,36,0.6381,0.6637
27,37,0.6286,0.6562
27,38,0.6159,0.6460
27,39,0.6222,0.6504
27,40,0.6222,0.6496
27,41,0.6222,0.6488
27,43,0.6190,0.6460
27,44,0.6254,0.6524
27,45,0.6286,0.6559
29,36,0.6381,0.6637
29,37,0.6286,0.6562
29,38,0.6159,0.6460
29,39,0.6222,0.6504
29,40,0.6222,0.6496
29,41,0.6222,0.6488
29,43,0.6190,0.6460
29,44,0.6254,0.6524
29,45,0.6286,0.6559
30,36,0.6381,0.6637
30,37,0.6286,0.6562
30,38,0.6159,0.6460
30,39,0.6222,0.6504
30,40,0.6222,0.6496
30,41,0.6222,0.6488
30,43,0.6190,0.6460
30,44,0.6254,0.6524
30,45,0.6286,0.6559
