n_components,regular,accuracy,f1
1,1e-05,0.4032,0.4070
1,0.0001,0.3429,0.3158
1,0.001,0.3429,0.3126
1,0.01,0.3365,0.3309
1,0.1,0.3714,0.3253
1,1,0.3556,0.3209
1,5,0.3746,0.3255
1,10,0.4635,0.4596
1,15,0.4571,0.4564
1,20,0.4698,0.4648
2,1e-05,0.3873,0.4089
2,0.0001,0.4000,0.3930
2,0.001,0.4063,0.4050
2,0.01,0.4127,0.4283
2,0.1,0.3714,0.4097
2,1,0.3619,0.3298
2,5,0.4095,0.3723
2,10,0.3810,0.3499
2,15,0.4127,0.4010
2,20,0.4063,0.3915
5,1e-05,0.3905,0.4197
5,0.0001,0.3905,0.3964
5,0.001,0.4032,0.4300
5,0.01,0.4286,0.4578
5,0.1,0.4603,0.4858
5,1,0.4540,0.4858
5,5,0.4317,0.4230
5,10,0.4095,0.4372
5,15,0.5206,0.5202
5,20,0.4889,0.4677
10,1e-05,0.4794,0.5242
10,0.0001,0.4667,0.4778
10,0.001,0.4603,0.4622
10,0.01,0.4921,0.5105
10,0.1,0.4698,0.5010
10,1,0.5016,0.5568
10,5,0.4571,0.4471
10,10,0.3968,0.4128
10,15,0.4254,0.4243
10,20,0.4286,0.4306
15,1e-05,0.3937,0.3976
15,0.0001,0.4571,0.4516
15,0.001,0.4794,0.4858
15,0.01,0.5873,0.6118
15,0.1,0.5238,0.5507
15,1,0.5683,0.5873
15,5,0.4984,0.4881
15,10,0.4095,0.4190
15,15,0.4857,0.4930
15,20,0.4603,0.4628
20,1e-05,0.4667,0.4792
20,0.0001,0.4540,0.4570
20,0.001,0.5111,0.5124
20,0.01,0.6381,0.6569
20,0.1,0.5905,0.6258
20,1,0.5683,0.5782
20,5,0.5079,0.5031
20,10,0.4444,0.4508
20,15,0.5365,0.5323
20,20,0.5175,0.5080
25,1e-05,0.4635,0.4803
25,0.0001,0.5016,0.5048
25,0.001,0.5460,0.5357
25,0.01,0.6286,0.6326
25,0.1,0.4667,0.5090
25,1,0.5683,0.5787
25,5,0.4794,0.4652
25,10,0.4889,0.4947
25,15,0.5714,0.5617
25,20,0.5302,0.5260
30,1e-05,0.4603,0.4732
30,0.0001,0.4603,0.4640
30,0.001,0.4825,0.4806
30,0.01,0.6222,0.6360
30,0.1,0.5175,0.5538
30,1,0.5968,0.6079
30,5,0.5016,0.4826
30,10,0.4381,0.4439
30,15,0.5714,0.5675
30,20,0.5270,0.5252
35,1e-05,0.4952,0.5083
35,0.0001,0.4254,0.4340
35,0.001,0.5048,0.5041
35,0.01,0.6254,0.6330
35,0.1,0.5016,0.5384
35,1,0.5683,0.5722
35,5,0.5079,0.4974
35,10,0.4635,0.4671
35,15,0.5460,0.5334
35,20,0.5048,0.5039
40,1e-05,0.4635,0.4739
40,0.0001,0.4698,0.4744
40,0.001,0.5206,0.5234
40,0.01,0.6349,0.6406
40,0.1,0.5302,0.5687
40,1,0.5937,0.5982
40,5,0.4889,0.4743
40,10,0.4889,0.4946
40,15,0.5714,0.5532
40,20,0.5175,0.5131
