n_components,regular,accuracy,f1
1,1e-05,0.4032,0.3766
1,0.0001,0.3429,0.3242
1,0.001,0.3683,0.3605
1,0.01,0.3651,0.3485
1,0.1,0.3619,0.3249
1,1,0.3238,0.2885
1,5,0.3175,0.3033
1,10,0.4667,0.4693
1,15,0.4698,0.4709
1,20,0.4317,0.4233
2,1e-05,0.4222,0.4307
2,0.0001,0.3683,0.3856
2,0.001,0.3746,0.3910
2,0.01,0.3968,0.4145
2,0.1,0.3778,0.4064
2,1,0.4095,0.4166
2,5,0.4444,0.4363
2,10,0.4349,0.4257
2,15,0.4286,0.4205
2,20,0.4159,0.4118
5,1e-05,0.4063,0.4336
5,0.0001,0.3968,0.4223
5,0.001,0.4063,0.4276
5,0.01,0.4254,0.4425
5,0.1,0.4159,0.4405
5,1,0.4095,0.4358
5,5,0.4698,0.5006
5,10,0.4825,0.5125
5,15,0.5016,0.5324
5,20,0.5016,0.5309
10,1e-05,0.4127,0.4509
10,0.0001,0.3968,0.4412
10,0.001,0.3841,0.4184
10,0.01,0.3746,0.4119
10,0.1,0.4889,0.5267
10,1,0.5460,0.5696
10,5,0.5841,0.6032
10,10,0.5905,0.6106
10,15,0.5937,0.6124
10,20,0.5937,0.6136
15,1e-05,0.4381,0.4637
15,0.0001,0.4254,0.4671
15,0.001,0.4063,0.4416
15,0.01,0.4540,0.4835
15,0.1,0.4730,0.5045
15,1,0.5746,0.5996
15,5,0.6444,0.6530
15,10,0.6413,0.6478
15,15,0.6476,0.6568
15,20,0.6540,0.6608
20,1e-05,0.4254,0.4454
20,0.0001,0.4095,0.4492
20,0.001,0.4540,0.4842
20,0.01,0.5619,0.5754
20,0.1,0.5778,0.5961
20,1,0.6286,0.6384
20,5,0.6667,0.6757
20,10,0.6603,0.6635
20,15,0.6635,0.6686
20,20,0.6635,0.6664
25,1e-05,0.4476,0.4674
25,0.0001,0.4127,0.4575
25,0.001,0.4794,0.5077
25,0.01,0.5683,0.5783
25,0.1,0.6000,0.6148
25,1,0.6444,0.6541
25,5,0.6571,0.6649
25,10,0.6698,0.6756
25,15,0.6698,0.6774
25,20,0.6667,0.6729
30,1e-05,0.3937,0.3900
30,0.0001,0.3714,0.4100
30,0.001,0.5016,0.5221
30,0.01,0.5651,0.5772
30,0.1,0.5873,0.6030
30,1,0.6413,0.6529
30,5,0.6667,0.6730
30,10,0.6698,0.6774
30,15,0.6667,0.6744
30,20,0.6667,0.6729
35,1e-05,0.3619,0.3508
35,0.0001,0.3619,0.3943
35,0.001,0.5238,0.5502
35,0.01,0.5841,0.5993
35,0.1,0.5968,0.6116
35,1,0.6476,0.6577
35,5,0.6603,0.6670
35,10,0.6698,0.6736
35,15,0.6635,0.6710
35,20,0.6698,0.6743
40,1e-05,0.3619,0.3757
40,0.0001,0.3714,0.4006
40,0.001,0.5111,0.5323
40,0.01,0.5905,0.6078
40,0.1,0.6159,0.6284
40,1,0.6476,0.6586
40,5,0.6635,0.6696
40,10,0.6730,0.6777
40,15,0.6698,0.6766
40,20,0.6635,0.6681
