n_components,sigma,accuracy,f1
2,0.05,0.7933,0.7929
2,0.1,0.7933,0.7929
2,0.2,0.7933,0.7929
2,0.3,0.7933,0.7929
2,0.5,0.7933,0.7929
2,0.7,0.7933,0.7929
4,0.05,0.8467,0.8465
4,0.1,0.8467,0.8465
4,0.2,0.8467,0.8465
4,0.3,0.8467,0.8465
4,0.5,0.8467,0.8465
4,0.7,0.8467,0.8465
8,0.05,0.9333,0.9333
8,0.1,0.9333,0.9333
8,0.2,0.9333,0.9333
8,0.3,0.9333,0.9333
8,0.5,0.9333,0.9333
8,0.7,0.9333,0.9333
12,0.05,0.9517,0.9517
12,0.1,0.9517,0.9517
12,0.2,0.9517,0.9517
12,0.3,0.9517,0.9517
12,0.5,0.9517,0.9517
12,0.7,0.9517,0.9517
15,0.05,0.9583,0.9583
15,0.1,0.9583,0.9583
15,0.2,0.9583,0.9583
15,0.3,0.9583,0.9583
15,0.5,0.9583,0.9583
15,0.7,0.9583,0.9583
