n_components,sigma,accuracy,f1
2,0.05,0.8150,0.8145
2,0.1,0.8867,0.8867
2,0.2,0.9417,0.9417
2,0.3,0.8533,0.8533
2,0.5,0.7383,0.7381
4,0.05,0.8250,0.8250
4,0.1,0.9150,0.9150
4,0.2,0.9683,0.9683
4,0.3,0.9383,0.9383
4,0.5,0.8433,0.8433
8,0.05,0.9117,0.9116
8,0.1,0.9500,0.9500
8,0.2,0.9733,0.9733
8,0.3,0.9567,0.9567
8,0.5,0.8933,0.8933
12,0.05,0.8917,0.8913
12,0.1,0.9617,0.9617
12,0.2,0.9733,0.9733
12,0.3,0.9617,0.9617
12,0.5,0.9300,0.9300
15,0.05,0.9050,0.9048
15,0.1,0.9633,0.9633
15,0.2,0.9733,0.9733
15,0.3,0.9600,0.9600
15,0.5,0.9367,0.9367
